Complaint Year Number;Month Number;Record Create Date;Complaint Precinct Code;County;Law Code Category Description;Offense Description;Bias Motive Description;Offense Category;Arrest Date
2019;3;03.10.2019;48;BRONX;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-WHITE;Race/Color;03.09.2019
2020;3;03/28/2020;44;BRONX;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;03/28/2020
2020;3;03/28/2020;44;BRONX;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;03/28/2020
2020;7;07/18/2020;45;BRONX;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-BLACK;Race/Color;11.10.2020
2021;4;04/25/2021;50;BRONX;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;05.01.2021
2022;2;02/15/2022;46;BRONX;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-FEMALE HOMOSEXUAL (LESBIAN);Sexual Orientation;02/15/2022
2019;1;01.06.2019;70;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-WHITE;Race/Color;01.06.2019
2019;6;06.10.2019;94;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;06.11.2019
2019;6;06/22/2019;81;KINGS;FELONY;FELONY ASSAULT;ANTI-TRANSGENDER;Gender;07/24/2019
2020;5;05.10.2020;90;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-JEWISH;Religion/Religious Practice;05.10.2020
2021;4;04.05.2021;61;KINGS;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;04.07.2021
2021;6;06/15/2021;66;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;06/14/2021
2021;9;09.04.2021;83;KINGS;FELONY;ROBBERY;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;09.08.2021
2021;10;10.08.2021;71;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;10.08.2021
2022;2;02.09.2022;90;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;03.03.2022
2019;2;02.08.2019;46;BRONX;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;02.08.2019
2020;2;02.06.2020;44;BRONX;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;02.06.2020
2020;4;04.12.2020;49;BRONX;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;04/29/2020
2021;4;04/25/2021;50;BRONX;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;05.01.2021
2021;9;09.06.2021;47;BRONX;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;09.06.2021
2019;10;10/21/2019;76;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;10/21/2019
2019;11;11/24/2019;66;KINGS;FELONY;GRAND LARCENY;ANTI-JEWISH;Religion/Religious Practice;11/23/2019
2020;1;01.01.2020;90;KINGS;FELONY;FELONY ASSAULT;ANTI-JEWISH;Religion/Religious Practice;01.01.2020
2020;5;05/21/2020;66;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-JEWISH;Religion/Religious Practice;06.11.2020
2021;1;01.02.2021;90;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-FEMALE;Gender;01.05.2021
2021;9;09.12.2021;79;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;09.12.2021
2022;2;02/18/2022;78;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-OTHER ETHNICITY;Ethnicity/National Origin/Ancestry;02/18/2022
2022;2;02.09.2022;90;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;04.07.2022
2022;5;05/14/2022;70;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;05/14/2022
2022;5;05.07.2022;69;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-BLACK;Race/Color;05/21/2022
2019;6;06.01.2019;40;BRONX;FELONY;RAPE;ANTI-WHITE;Race/Color;06/14/2019
2019;10;10/22/2019;43;BRONX;FELONY;FELONY ASSAULT;ANTI-MUSLIM;Religion/Religious Practice;10/22/2019
2021;5;05/15/2021;50;BRONX;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;09/28/2022
2019;4;04.06.2019;94;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;04.05.2019
2019;6;06/17/2019;61;KINGS;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-ARAB;Ethnicity/National Origin/Ancestry;06/19/2019
2019;7;07/26/2019;75;KINGS;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-BLACK;Race/Color;07/26/2019
2019;11;11.03.2019;94;KINGS;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-CATHOLIC;Religion/Religious Practice;11.03.2019
2019;11;11/24/2019;66;KINGS;FELONY;GRAND LARCENY;ANTI-JEWISH;Religion/Religious Practice;11/23/2019
2019;12;12/27/2019;71;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;12/27/2019
2020;11;11/17/2020;90;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-FEMALE;Gender;01.05.2021
2021;1;01.03.2021;90;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-FEMALE;Gender;01.05.2021
2021;2;02.10.2021;84;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;03/13/2021
2021;5;05/24/2021;61;KINGS;FELONY;FELONY ASSAULT;ANTI-JEWISH;Religion/Religious Practice;05/24/2021
2021;5;05/23/2021;70;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;05/25/2021
2021;6;06/18/2021;77;KINGS;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;06/17/2021
2019;8;08.05.2019;47;BRONX;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-TRANSGENDER;Gender;08.05.2019
2019;10;10/22/2019;43;BRONX;FELONY;FELONY ASSAULT;ANTI-MUSLIM;Religion/Religious Practice;10/22/2019
2021;4;04/25/2021;50;BRONX;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;05.01.2021
2022;6;06.01.2022;40;BRONX;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;06.03.2022
2022;8;08/20/2022;49;BRONX;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-ASIAN;Race/Color;08/20/2022
2019;3;03/22/2019;75;KINGS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-BLACK;Race/Color;04.02.2019
2020;2;02.08.2020;72;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;02.11.2020
2020;3;03/24/2020;78;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-ASIAN;Race/Color;03/24/2020
2020;12;12/27/2020;70;KINGS;FELONY;BURGLARY;ANTI-JEWISH;Religion/Religious Practice;12/31/2020
2021;3;03/23/2021;61;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;04.07.2021
2021;5;05/22/2021;66;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;05/26/2021
2021;5;05/23/2021;66;KINGS;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;05/26/2021
2021;9;09/17/2021;68;KINGS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;09/17/2021
2022;2;02.12.2022;63;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;02/17/2022
2022;5;05/22/2022;71;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-MUSLIM;Religion/Religious Practice;05/26/2022
2020;7;07.07.2020;40;BRONX;FELONY;ROBBERY;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;07.07.2020
2019;1;01/14/2019;84;KINGS;FELONY;FELONY ASSAULT;ANTI-TRANSGENDER;Gender;01/14/2019
2019;5;05/17/2019;71;KINGS;FELONY;DANGEROUS WEAPONS;ANTI-TRANSGENDER;Gender;05/17/2019
2019;8;08.09.2019;71;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;08.09.2019
2019;12;12/26/2019;61;KINGS;FELONY;FELONY ASSAULT;ANTI-JEWISH;Religion/Religious Practice;12/26/2019
2020;1;01/29/2020;79;KINGS;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;01/29/2020
2021;5;05/23/2021;70;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;05/26/2021
2021;8;08/17/2021;70;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;08/16/2021
2021;10;10/21/2021;71;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-JEWISH;Religion/Religious Practice;10/22/2021
2021;12;12/26/2021;68;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;01.11.2022
2022;1;01/19/2022;88;KINGS;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;01/19/2022
2021;9;09.09.2021;77;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;03.02.2022
2022;4;04.03.2022;83;KINGS;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;04/13/2022
2022;4;04/26/2022;61;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-JEWISH;Religion/Religious Practice;05.03.2022
2022;4;04.02.2022;90;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;05.12.2022
2019;3;03.08.2019;48;BRONX;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-WHITE;Race/Color;03.09.2019
2021;4;04/23/2021;50;BRONX;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;05.01.2021
2021;4;04/25/2021;50;BRONX;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;05.01.2021
2021;4;04/22/2021;50;BRONX;MISDEMEANOR;CRIMINAL TRESPASS;ANTI-JEWISH;Religion/Religious Practice;05.01.2021
2022;5;05.11.2022;43;BRONX;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MUSLIM;Religion/Religious Practice;05.11.2022
2019;1;01/30/2019;71;KINGS;FELONY;ROBBERY;ANTI-JEWISH;Religion/Religious Practice;01/30/2019
2019;7;07/27/2019;84;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-BLACK;Race/Color;07/26/2019
2019;12;12/27/2019;71;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;12/27/2019
2020;5;05.07.2020;75;KINGS;FELONY;FELONY ASSAULT;ANTI-TRANSGENDER;Gender;05.12.2020
2020;6;06.02.2020;66;KINGS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;06.01.2020
2020;8;08.06.2020;90;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-FEMALE;Gender;01.05.2021
2021;3;03.05.2021;62;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;04.07.2021
2021;5;05/23/2021;70;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;05/25/2021
2021;5;05.08.2021;75;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-ASIAN;Race/Color;07/29/2021
2021;10;10/14/2021;70;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;10/17/2021
2019;5;05.11.2019;42;BRONX;FELONY;ROBBERY;ANTI-MUSLIM;Religion/Religious Practice;05.10.2019
2019;12;12/27/2019;71;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;12/28/2019
2021;8;08.09.2021;40;BRONX;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-CATHOLIC;Religion/Religious Practice;09.12.2021
2019;1;01.07.2019;94;KINGS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;04.06.2019
2019;8;08/27/2019;77;KINGS;FELONY;FELONY ASSAULT;ANTI-JEWISH;Religion/Religious Practice;09.12.2019
2019;12;12.12.2019;63;KINGS;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-MUSLIM;Religion/Religious Practice;12/13/2019
2020;3;03/25/2020;84;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;05.12.2020
2020;11;11/17/2020;84;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-JEWISH;Religion/Religious Practice;11/17/2020
2021;2;02.03.2021;70;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;02.10.2021
2021;3;03.09.2021;72;KINGS;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;03.09.2021
2021;5;05/23/2021;70;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;05/26/2021
2021;5;05/23/2021;70;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;05/26/2021
2021;6;06/21/2021;79;KINGS;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;07.02.2021
2021;7;07/21/2021;90;KINGS;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;08/28/2021
2022;7;07/25/2022;72;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-ASIAN;Race/Color;07/25/2022
2020;3;03/28/2020;44;BRONX;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;03/28/2020
2021;3;03.04.2021;42;BRONX;FELONY;FELONY ASSAULT;ANTI-HISPANIC;Ethnicity/National Origin/Ancestry;03.04.2021
2021;4;04/25/2021;50;BRONX;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;05.01.2021
2021;4;04/25/2021;50;BRONX;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;05.01.2021
2019;5;05/22/2019;88;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;06.06.2019
2019;11;11.10.2019;66;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-JEWISH;Religion/Religious Practice;11/13/2019
2020;3;03/20/2020;66;KINGS;FELONY;GRAND LARCENY;ANTI-ASIAN;Race/Color;03/19/2020
2020;5;05.10.2020;90;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-JEWISH;Religion/Religious Practice;05.10.2020
2020;3;03/25/2020;84;KINGS;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;05.12.2020
2020;5;05.12.2020;67;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-GENDER NON-CONFORMING;Gender;05.12.2020
2020;10;10.05.2020;60;KINGS;FELONY;BURGLARY;ANTI-JEWISH;Religion/Religious Practice;10.04.2020
2020;12;12/28/2020;90;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-FEMALE;Gender;01.05.2021
2021;6;06.11.2021;71;KINGS;FELONY;ROBBERY;ANTI-ASIAN;Race/Color;06.10.2021
2021;6;06.11.2021;71;KINGS;FELONY;ROBBERY;ANTI-ASIAN;Race/Color;06.10.2021
2021;12;12/20/2021;71;KINGS;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-BLACK;Race/Color;12/20/2021
2021;5;05.01.2021;50;BRONX;FELONY;BURGLARY;ANTI-JEWISH;Religion/Religious Practice;05.01.2021
2021;12;12/28/2021;50;BRONX;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;09/28/2022
2022;10;10.11.2022;49;BRONX;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;10.11.2022
2019;1;01/15/2019;61;KINGS;FELONY;MURDER & NON-NEGL. MANSLAUGHTE;ANTI-ASIAN;Race/Color;01/16/2019
2019;2;02.08.2019;71;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-JEWISH;Religion/Religious Practice;02.08.2019
2019;4;04.06.2019;94;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;04.05.2019
2019;3;03/17/2019;70;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MUSLIM;Religion/Religious Practice;04.07.2019
2019;7;07/28/2019;79;KINGS;FELONY;ROBBERY;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;07/28/2019
2019;7;07/28/2019;79;KINGS;FELONY;ROBBERY;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;07/28/2019
2020;5;05.12.2020;70;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;05.12.2020
2020;8;08/21/2020;88;KINGS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;08/21/2020
2020;11;11/28/2020;61;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;11/28/2020
2020;12;12/26/2020;70;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;12/31/2020
2021;6;06/18/2021;77;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;06/18/2021
2021;12;12/20/2021;71;KINGS;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-BLACK;Race/Color;12/20/2021
2019;5;05.11.2019;42;BRONX;FELONY;ROBBERY;ANTI-MUSLIM;Religion/Religious Practice;05.10.2019
2021;3;03/14/2021;52;BRONX;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;03/14/2021
2022;2;02/21/2022;48;BRONX;FELONY;FELONY ASSAULT;ANTI-MUSLIM;Religion/Religious Practice;03.02.2022
2022;11;11/20/2022;43;BRONX;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-OTHER ETHNICITY;Ethnicity/National Origin/Ancestry;01.06.2023
2019;1;01/30/2019;71;KINGS;FELONY;ROBBERY;ANTI-JEWISH;Religion/Religious Practice;01/30/2019
2019;3;04.01.2019;94;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;04.06.2019
2019;6;06/13/2019;81;KINGS;FELONY;GRAND LARCENY;ANTI-JEWISH;Religion/Religious Practice;06/14/2019
2019;5;05/19/2019;68;KINGS;FELONY;ROBBERY;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;06/25/2019
2019;9;09/15/2019;88;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;09/15/2019
2021;1;01.04.2021;83;KINGS;FELONY;ROBBERY;ANTI-FEMALE;Gender;01.05.2021
2021;6;06.11.2021;79;KINGS;MISDEMEANOR;PETIT LARCENY;ANTI-ASIAN;Race/Color;06.11.2021
2021;9;09/19/2021;66;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-JEWISH;Religion/Religious Practice;02/25/2022
2022;5;05/22/2022;71;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MUSLIM;Religion/Religious Practice;05/26/2022
2022;5;05/27/2022;79;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;06/26/2022
2022;6;06/27/2022;62;KINGS;FELONY;KIDNAPPING & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;06/27/2022
2022;3;03/17/2022;46;BRONX;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;03/23/2022
2022;5;05/13/2022;52;BRONX;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-TRANSGENDER;Gender;05/13/2022
2021;11;12.04.2021;50;BRONX;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;09/28/2022
2019;1;01/30/2019;71;KINGS;FELONY;ROBBERY;ANTI-JEWISH;Religion/Religious Practice;01/30/2019
2019;3;03.11.2019;67;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-HISPANIC;Ethnicity/National Origin/Ancestry;03.11.2019
2019;4;04.08.2019;75;KINGS;FELONY;FELONY ASSAULT;ANTI-FEMALE HOMOSEXUAL (LESBIAN);Sexual Orientation;04.08.2019
2019;10;10/30/2019;67;KINGS;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;10/30/2019
2019;11;11.06.2019;75;KINGS;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;11.05.2019
2020;6;06/27/2020;94;KINGS;FELONY;FELONY ASSAULT;ANTI-WHITE;Race/Color;06/27/2020
2020;11;11/17/2020;90;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-FEMALE;Gender;12/30/2020
2020;12;12/26/2020;70;KINGS;FELONY;BURGLARY;ANTI-JEWISH;Religion/Religious Practice;12/31/2020
2021;6;06.11.2021;60;KINGS;FELONY;FELONY ASSAULT;ANTI-HISPANIC;Ethnicity/National Origin/Ancestry;06.11.2021
2022;1;01/14/2022;63;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;01/21/2022
2022;2;02.07.2022;62;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;02.07.2022
2022;2;02.05.2022;79;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;02.10.2022
2019;3;03.09.2019;48;BRONX;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-WHITE;Race/Color;03.09.2019
2019;5;05.11.2019;42;BRONX;FELONY;ROBBERY;ANTI-MUSLIM;Religion/Religious Practice;05.10.2019
2020;7;07/31/2020;40;BRONX;FELONY;MISCELLANEOUS PENAL LAW;ANTI-ASIAN;Race/Color;08.06.2020
2020;10;10.08.2020;48;BRONX;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;10.08.2020
2021;10;10.11.2021;52;BRONX;FELONY;FELONY ASSAULT;ANTI-TRANSGENDER;Gender;10.11.2021
2021;9;09/14/2021;47;BRONX;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;01/18/2022
2019;2;02.04.2019;60;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;02/27/2019
2019;3;03/29/2019;79;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;03/29/2019
2019;7;07/13/2019;76;KINGS;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;07/13/2019
2019;11;11/24/2019;66;KINGS;FELONY;GRAND LARCENY;ANTI-JEWISH;Religion/Religious Practice;11/23/2019
2020;1;01/21/2020;71;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;01/21/2020
2020;12;12/28/2020;90;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-FEMALE;Gender;12/30/2020
2021;5;05/14/2021;62;KINGS;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-CATHOLIC;Religion/Religious Practice;05/21/2021
2021;5;05/16/2021;72;KINGS;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-CATHOLIC;Religion/Religious Practice;05/21/2021
2021;5;05/23/2021;70;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-JEWISH;Religion/Religious Practice;05/26/2021
2021;4;04.09.2021;42;BRONX;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;04.09.2021
2021;5;05.01.2021;50;BRONX;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;05.01.2021
2021;4;04/23/2021;50;BRONX;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;05.01.2021
2021;12;12/15/2021;50;BRONX;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;09/28/2022
2019;3;03/22/2019;75;KINGS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-BLACK;Race/Color;04.02.2019
2019;6;06/19/2019;61;KINGS;FELONY;CRIMINAL MISCHIEF & RELATED OF;ANTI-ARAB;Ethnicity/National Origin/Ancestry;06/19/2019
2019;6;06/22/2019;84;KINGS;FELONY;ROBBERY;ANTI-MUSLIM;Religion/Religious Practice;06/22/2019
2019;8;08.04.2019;75;KINGS;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;08/21/2019
2019;8;08/23/2019;62;KINGS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-MUSLIM;Religion/Religious Practice;08/29/2019
2019;9;09/22/2019;90;KINGS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ARAB;Ethnicity/National Origin/Ancestry;09/22/2019
2019;11;11.11.2019;66;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;11/13/2019
